Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C19, C2, C7, C8",0402,7,4u7,C23733
"C10, C11, C12, C13, C14, C15, C16, C5, C6, C9",0402,10,100n,C1525
"C3, C4",0402,2,15p,C1548
"J1, J2",JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,2,Conn_01x03_MountingPin,C160403
L1,AOTAB201610S3R3101T,1,3u3,C42411119
P1,USB_C_Plug_Molex_105444,1,USB_C_Plug_USB2.0,C134082
"R1, R2, R4, R8",0402,4,5k1,C25905
R3,0402,1,1k,C11702
"R5, R6, R7",0402,3,33,C25105
"SW1, SW2",SW_SPST_B3U-1000P-B,2,SW_Push,C231329
U1,SOT-23-5,1,AP2112K-3.3,C23380830
U2,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2354A,C41378174
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
